level,code,terrain,game_mode,player_powers,enemy_powers,speed,strategic_side,outcome,ticks,seconds,blue_population,red_population,blue_living_population,red_living_population,blue_mana,red_mana,blue_castles,red_castles,blue_peak_castles,red_peak_castles,blue_towns,red_towns,blue_action_markers,red_action_markers,blue_alive_slots,red_alive_slots,dead_slots,ruins,slots,war_tick,first_offense_tick,last_offense_tick,both_quakes,both_volcanoes,both_floods,both_knights,both_wars,blue_initial_population,red_initial_population,blue_initial_mana,red_initial_mana,state_hash,blue_exact_quakes,red_exact_quakes,blue_exact_swamps,red_exact_swamps,blue_exact_knights,red_exact_knights,blue_exact_volcanoes,red_exact_volcanoes,blue_exact_floods,red_exact_floods,blue_exact_wars,red_exact_wars,blue_unclassified_power_score,red_unclassified_power_score,blue_actual_towns,red_actual_towns,blue_actual_castles,red_actual_castles,blue_actual_knights,red_actual_knights,blue_actual_battles_won,red_actual_battles_won,blue_peak_actual_population,red_peak_actual_population,blue_peak_actual_towns,red_peak_actual_towns,blue_peak_actual_castles,red_peak_actual_castles,blue_peak_actual_knights,red_peak_actual_knights,blue_peak_actual_battles_won,red_peak_actual_battles_won
0,SHISODING,0,3,63,0,10,0,win,9218,1152.250,30595,0,30595,0,33352,30894,0,0,19,3,0,0,611,1461,2,0,138,0,140,8981,1920,8981,26,0,0,2,1,135,135,399,399,44d029b220943aa4f8df7bcd75ef98aa8765f7ea082f406cc2d161136e92a335,26,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,56,43708,22520,56,85,19,3,1,0,67,56
0,SHISODING,0,3,63,0,10,1,ongoing,9600,1200.000,58192,38337,58192,38337,6936,101116,25,3,25,8,10,38,1040,942,41,61,23,0,125,0,1121,9511,24,23,0,12,0,135,135,399,399,52c686938589471acdb6359ef84ba25222728cfa473aba4071176d31c12e3d3b,24,0,0,0,12,0,23,0,0,0,0,0,0,0,10,38,25,3,1,0,90,4,64632,67674,23,61,25,8,4,0,90,4
1,HURTOUTORD,0,3,63,0,10,0,win,2986,373.250,12712,1,12712,0,2282,-250,4,0,4,0,16,0,299,244,23,0,21,1,45,0,1501,2911,8,0,0,1,0,135,135,399,399,10b9fc8de01e518cf500d769fc61dc5de426b8268a77ad4a0c4b04df429530f0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,4,0,1,0,28,0,12736,2677,17,22,4,0,1,0,28,0
1,HURTOUTORD,0,3,63,0,10,1,win,5503,687.875,0,32385,0,32385,6270,49977,0,7,5,7,0,29,546,547,0,53,41,0,94,0,2281,4111,0,3,0,1,0,135,135,399,399,9a70ce5d388a7978eaa45cb97a774bc4d7f3fffb4912e9fd65ebef3260273a5d,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,29,0,7,0,0,38,37,17126,33804,32,55,5,7,1,0,38,37
2,JOSAMAR,0,3,63,0,10,0,win,8668,1083.500,34687,0,34687,0,10545,66149,0,0,10,6,0,0,896,1115,6,0,79,0,85,8441,1921,8441,15,0,0,2,1,135,135,399,399,cd298baca5cb84bc323e6091f0261f95bc27c873487fac268f87b6769a866387,15,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,113,50,41657,19354,62,62,10,6,1,0,113,50
2,JOSAMAR,0,3,63,0,10,1,ongoing,9600,1200.000,87108,1123,87108,1122,1803,15230,20,0,20,8,37,12,1051,960,79,16,19,1,115,0,1321,9591,33,17,0,10,0,135,135,399,399,a0d1f9cd8408a7773593ac2b888df219dfa6e602c69d362b3972dcc7d813537f,33,0,1,0,10,0,17,0,0,0,0,0,0,0,37,12,20,0,5,0,213,5,87108,28650,49,40,20,8,5,0,213,5
3,TIMUSLUG,0,3,63,0,10,0,win,5605,700.625,29457,0,29457,0,21552,8859,2,0,2,4,48,0,539,523,72,0,9,0,81,0,1911,5511,9,0,0,3,0,135,135,399,399,74d4680affe59c503abc8fd3376bcc8011c7db00432e96457b074bbf31fbc4fc,9,0,0,0,3,0,0,0,0,0,0,0,0,0,48,0,2,0,2,0,95,28,29530,5548,49,27,2,4,2,0,95,28
3,TIMUSLUG,0,3,63,0,10,1,win,5317,664.625,0,41675,0,41675,5796,66804,0,3,1,5,0,65,460,532,0,92,9,0,101,0,2081,2981,2,0,0,0,0,135,135,399,399,af38ab91796a547a20edc571e038eed6dd3e73c6f0cd953f50d2e2e683a7a05f,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,3,0,0,36,60,10427,41747,28,69,1,5,0,0,36,60
4,CALDIEHILL,0,3,63,0,10,0,win,4611,576.375,32472,0,32472,0,16427,5856,0,0,11,3,0,0,496,551,3,0,93,0,96,4361,1281,4361,6,0,0,2,1,135,135,399,399,51a68fdd845b3579702135c4ca6214b0f99ce7f30673ea1f4e4475e7843eba6f,6,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66,27,47277,14234,96,47,11,3,1,0,66,27
4,CALDIEHILL,0,3,63,0,10,1,win,9549,1193.625,0,57011,0,57011,1911,156445,0,7,7,8,0,73,1024,929,0,136,54,0,190,0,1631,8181,6,5,0,3,0,135,135,399,399,cf4483483a7d40d9fcb803b25d03d9a6b3b3adc8f04073819f9d50820a6534f7,6,0,0,0,3,0,5,0,0,0,0,0,0,0,0,73,0,7,0,0,154,88,16307,63035,51,101,7,8,1,0,154,88
5,SCOQUEMET,1,0,63,16,10,0,win,6214,776.750,25696,0,25696,0,31607,21904,4,0,4,9,69,0,545,591,89,0,35,0,124,0,1401,5861,4,2,0,2,0,135,135,399,399,528188af9ef93b4f56ea3a003a01025c387efdcd3e9ffcfa3b27cdee9d149a2e,4,0,0,0,2,0,2,0,0,0,0,0,0,0,69,0,4,0,1,0,19,5,25842,16623,69,35,4,9,1,0,19,5
5,SCOQUEMET,1,0,63,16,10,1,ongoing,9600,1200.000,31489,36326,31489,36326,8200,30078,7,4,11,5,14,40,1004,936,25,53,36,0,114,0,3001,8801,0,4,2,0,0,135,135,399,399,a888f7b4d6d632d9ae4d8b4c53349f2d4697bf5b5c004ef8d19453f0a6f9384a,0,0,0,0,0,0,4,0,0,2,0,0,0,0,14,40,7,4,0,0,2,2,31489,36326,25,64,11,5,0,0,2,2
6,SWAUER,1,0,63,16,10,0,win,8136,1017.000,8332,0,8332,0,2074,-234,0,0,8,8,8,0,814,792,14,0,73,0,87,0,1381,7991,16,2,1,5,0,135,135,399,399,04070e676cb1d90c3c0a618688b34bde13f0ced18564e1e71810d0b9b2793860,16,0,0,0,5,0,2,0,0,1,0,0,0,0,8,0,0,0,1,0,30,1,31509,21875,52,35,8,8,2,0,30,1
6,SWAUER,1,0,63,16,10,1,loss,7675,959.375,77907,1,77907,0,6974,-250,19,0,20,2,22,0,925,430,51,0,18,1,70,0,2801,7391,0,5,0,6,0,135,135,399,399,96f0c15ea0e9488393fb28d0da85d742ca19408541a7133a608f73c8c7510d2a,0,0,0,0,6,0,5,0,0,0,0,0,0,0,22,0,19,0,3,0,51,3,77961,5349,27,22,20,2,5,0,51,3
