level,code,terrain,game_mode,player_powers,enemy_powers,speed,outcome,seconds,blue_population,red_population,blue_mana,red_mana,blue_castles,red_castles,blue_peak_castles,red_peak_castles,blue_actions,red_actions,blue_alive_slots,red_alive_slots,dead_slots,ruins,slots,war_tick,first_offense_tick,last_offense_tick
0,SHISODING,0,3,63,0,10,draw,699.000,0,0,1307,45158,0,0,8,8,315,533,0,0,208,0,208,5329,1311,5329
1,HURTOUTORD,0,3,63,0,10,win,855.500,20334,0,22268,26091,0,0,12,7,474,660,1,0,207,0,208,6601,1181,6601
2,JOSAMAR,0,3,63,0,10,ongoing,1200.000,11933,81326,1645,104690,2,5,2,7,168,900,2,26,180,0,208,0,1920,9393
3,TIMUSLUG,0,3,63,0,10,ongoing,1200.000,91504,9428,77472,76741,2,1,2,13,569,560,28,4,176,0,208,0,1921,4801
4,CALDIEHILL,0,3,63,0,10,ongoing,1200.000,108547,17069,1903,30457,0,0,0,4,245,960,30,8,170,0,208,0,1921,9513
5,SCOQUEMET,1,0,63,16,10,ongoing,1200.000,75866,33851,13028,2935,3,2,3,11,427,894,20,4,184,0,208,0,1341,8441
6,SWAUER,1,0,63,16,10,win,1053.625,59418,0,2929,566,3,0,4,3,757,842,8,0,200,0,208,0,1281,7931
7,KILLPEING,1,0,63,16,10,ongoing,1200.000,76215,1895,58328,9,2,0,2,0,960,861,24,2,182,0,208,0,1281,3011
8,EOAOZORD,1,0,63,16,10,ongoing,1200.000,105237,45159,2733,38518,0,1,0,4,230,803,41,14,153,0,208,0,1541,9361
9,BURWILCON,1,0,63,16,10,win,453.750,34018,0,12150,-250,2,0,2,1,321,316,36,0,172,0,208,0,1301,2993
10,MORINGILL,2,0,63,11,10,loss,476.625,0,9101,-250,5801,0,5,1,7,312,376,0,37,32,0,69,0,811,3641
11,NIMIHILL,2,0,63,11,10,ongoing,1200.000,22467,24562,2236,667,1,0,6,5,917,809,25,17,166,0,208,0,2263,9491
12,BILCEMET,2,0,63,11,10,ongoing,1200.000,49936,16402,18528,859,4,4,8,4,804,907,33,13,162,0,208,0,1561,9521
13,RINGMPED,2,0,63,11,10,ongoing,1200.000,43911,37767,907,9922,2,3,10,6,957,742,18,22,168,0,208,0,3201,9541
14,WEAVHIPHAM,2,0,63,11,10,ongoing,1200.000,44592,13961,3011,3568,1,0,3,8,820,929,36,14,158,0,208,0,2181,9411
15,ALPOUTOND,3,0,63,2,9,ongoing,1200.000,142318,88531,1327,13704,1,1,1,4,325,1046,32,19,157,0,208,0,1360,9505
16,BADACON,3,0,63,2,9,loss,909.500,0,6752,4361,27735,0,0,8,7,343,644,0,1,207,0,208,6593,1171,6593
17,IMMUSILL,3,0,63,2,9,ongoing,1200.000,100021,91759,895,89002,1,2,1,5,166,917,21,16,171,0,208,0,1401,9545
18,HOBDIETORY,3,0,63,2,9,ongoing,1200.000,117880,84962,40943,68025,2,1,2,9,1063,668,25,16,167,0,208,0,1225,5914
19,BUGQUEEND,3,0,63,2,9,win,508.750,2937,0,7507,27995,0,0,12,9,340,418,1,0,207,0,208,3761,865,3761
20,SHADTED,2,0,63,32,9,ongoing,1200.000,88859,61432,37091,64934,10,9,10,16,385,770,30,23,155,0,208,0,3439,6940
21,CORPEHAM,2,0,63,32,9,ongoing,1200.000,52768,36041,45206,54362,2,2,3,11,751,1067,44,19,145,0,208,0,1774,7102
22,BINOZOND,2,0,63,32,9,win,1067.875,40345,0,4589,40156,5,0,5,10,532,724,28,0,180,0,208,0,2206,8177
23,SADWILLOW,2,0,63,32,9,ongoing,1200.000,29852,15191,2669,37543,0,0,0,4,1067,1036,31,10,167,0,208,0,1306,9397
24,LOWINGICK,2,0,63,32,9,ongoing,1200.000,82263,63168,35778,54192,6,4,6,12,513,889,47,16,145,0,208,0,2116,8839
25,QAZITORY,3,17,15,11,9,ongoing,1200.000,183395,9517,2772,778,7,1,7,1,343,1052,32,2,174,0,208,0,1000,9529
26,VERYMEEND,3,17,15,11,9,win,796.750,89886,0,503,5,6,0,8,2,709,699,23,0,185,0,208,0,1297,6373
27,MINMPME,3,17,15,11,9,ongoing,1200.000,125535,4353,2965,3894,3,0,3,2,210,912,25,1,182,0,208,0,1153,9417
28,HAMHIPOLD,3,17,15,11,9,win,1026.250,89526,0,674,984,9,0,9,4,913,910,13,0,195,0,208,0,1063,8209
29,FUTOUTBOY,3,17,15,11,9,win,1081.250,177798,0,521,2384,4,0,4,3,409,958,40,0,168,0,208,0,793,8649
30,SUZALOW,0,16,55,8,8,ongoing,1200.000,49118,53858,913,8568,0,7,4,7,1034,881,13,15,180,0,208,0,1121,9217
31,DOUUSICK,0,16,55,8,8,win,915.625,30522,0,3554,-250,2,0,8,3,916,873,12,0,195,1,208,0,945,6977
32,SHIDIEHOLE,0,16,55,8,8,ongoing,1200.000,65329,50165,2519,5537,0,1,7,7,1075,905,21,15,172,0,208,0,1153,9217
33,HURTLOPLAS,0,16,55,8,8,ongoing,1200.000,53235,24146,50923,6462,2,0,6,6,394,1200,15,10,183,0,208,0,1113,4649
34,JOSTME,0,16,55,8,8,ongoing,1200.000,62313,59381,326,8207,0,9,1,10,740,1070,8,18,182,0,208,0,1257,9313
35,TIMPEOLD,1,16,63,3,8,ongoing,1200.000,99184,20375,654,1940,1,0,2,2,485,1106,30,7,171,0,208,0,1769,9593
36,CALOZBOY,1,16,63,3,8,ongoing,1200.000,71233,56335,12730,2350,6,3,6,7,1192,1200,12,12,183,1,208,0,1729,9569
37,SCOWILDOR,1,16,63,3,8,ongoing,1200.000,85161,68028,7405,31974,5,5,6,11,1097,1111,27,17,164,0,208,0,1577,8753
38,SWAINGPAL,1,16,63,3,8,ongoing,1200.000,108333,26326,2365,809,0,0,2,6,369,1147,39,9,160,0,208,0,1905,9465
39,KILLOHOLE,1,16,63,3,8,ongoing,1200.000,109924,86180,39318,58573,10,6,10,10,1195,677,14,16,178,0,208,0,1449,5425
40,EOAMELAS,2,16,63,16,8,ongoing,1200.000,30216,27173,1016,41200,0,0,6,7,758,587,2,3,203,0,208,9401,4081,9401
41,BURMPAL,2,16,63,16,8,ongoing,1200.000,11213,19059,2256,1588,0,2,1,18,1165,1125,8,3,197,0,208,0,5329,8753
42,MORHIPPIL,2,16,63,16,8,ongoing,1200.000,51677,5141,12562,32570,5,0,10,9,948,987,28,1,179,0,208,0,2889,8393
43,NIMOUTJOB,2,16,63,16,8,ongoing,1200.000,93564,55339,47003,37899,13,11,13,11,1016,845,30,16,162,0,208,0,3185,4537
44,BILADOR,2,16,63,16,8,ongoing,1200.000,52464,652,2213,34178,1,0,4,8,757,937,37,1,170,0,208,0,3369,9465
45,RINGGBPAL,3,17,63,4,7,ongoing,1200.000,22885,110763,589,97228,2,4,2,6,159,1212,2,21,185,0,208,0,1153,9593
46,WEAVINPERT,3,17,63,4,7,ongoing,1200.000,7257,166916,1607,172415,1,2,2,12,261,1098,1,31,176,0,208,0,1268,9345
47,ALPLOPOUT,3,17,63,4,7,ongoing,1200.000,106617,80012,28395,51022,3,3,3,5,265,1067,20,13,175,0,208,0,1478,7609
48,BADTAL,3,17,63,4,7,ongoing,1200.000,10107,163308,30,168771,0,10,1,11,541,1372,1,29,178,0,208,0,1201,7513
49,IMMPEPIL,3,17,63,4,7,ongoing,1200.000,87296,8610,21996,17016,4,1,4,4,947,1251,16,2,190,0,208,0,1331,8261
50,HOBOZJOB,0,1,47,20,7,win,569.000,27467,0,53032,2250,4,0,5,13,329,540,25,0,183,0,208,0,1639,4551
51,BUGWILLIN,0,1,47,20,7,loss,349.625,0,7017,-250,3630,0,0,1,3,175,277,0,47,147,1,195,0,1809,2641
52,SHADOGODON,0,1,47,20,7,ongoing,1200.000,55140,3064,29402,10838,2,1,6,14,1158,815,15,1,192,0,208,0,1548,6217
53,COROPERT,0,1,47,20,7,ongoing,1200.000,42189,11894,30021,36560,2,4,2,4,1314,849,11,4,193,0,208,0,1583,5405
54,BINMEOUT,0,1,47,20,7,win,483.250,2436,0,511,2223,1,0,1,14,78,453,1,0,207,0,208,0,1365,3865
55,SADMPT,2,1,47,20,7,win,926.500,5963,0,1153,2001,1,0,2,25,723,750,5,0,203,0,208,0,3221,7411
56,LOWHIPBAR,2,1,47,20,7,ongoing,1200.000,39902,3352,12926,2719,4,1,6,9,859,824,18,1,189,0,208,0,3505,7680
57,QAZOUTER,2,1,47,20,7,ongoing,1200.000,47335,37826,5828,40806,3,1,3,10,622,1107,39,24,145,0,208,0,2703,9591
58,VERYELIN,2,1,47,20,7,ongoing,1200.000,21268,3127,1213,2033,1,2,8,8,1130,1116,9,4,195,0,208,0,3137,9157
59,MINGBDON,2,1,47,20,7,ongoing,1200.000,37566,27274,2362,37323,1,0,1,9,547,1188,35,19,154,0,208,0,3393,9465
60,HAMINMAR,3,1,46,20,6,win,1150.125,66801,0,7144,2815,0,0,4,9,1382,511,5,0,203,0,208,9019,2185,9019
61,FUTLOPLUG,3,1,46,20,6,ongoing,1200.000,55334,20512,3838,14581,1,0,3,8,1473,1580,12,4,192,0,208,0,1813,8593
62,SUZTT,3,1,46,20,6,ongoing,1200.000,107516,12550,5987,8980,1,0,2,12,305,802,23,2,183,0,208,0,1849,8833
63,DOUPEBAR,3,1,46,20,6,win,1048.750,28474,0,8792,10835,0,0,11,5,937,832,1,0,207,0,208,8161,2089,8161
64,SHIOZER,3,1,46,20,6,ongoing,1200.000,23827,12731,48105,17928,2,1,2,8,200,937,2,2,204,0,208,0,1453,3673
65,HURTIKEING,1,1,45,36,6,win,907.875,6430,0,4264,43302,0,0,10,15,552,546,1,0,207,0,208,7017,1381,7017
66,JOSOGOORD,1,1,45,36,6,ongoing,1200.000,54538,86286,1256,73506,0,4,1,18,1594,1051,19,19,170,0,208,0,2041,9457
67,TIMOMAR,1,1,45,36,6,win,775.125,29030,0,4133,33159,0,0,6,11,407,424,1,0,207,0,208,5961,1417,5961
68,CALMELUG,1,1,45,36,6,ongoing,1200.000,63031,72650,2527,57949,7,3,12,12,458,968,8,14,186,0,208,0,2641,9289
