level,code,terrain,game_mode,strategic_side,before_outcome,before_seconds,after_outcome,after_seconds,before_hash,after_hash,blue_initial_population,red_initial_population
0,SHISODING,0,3,0,win,850.500,win,1173.250,c29462fde1f43a2a4aac73e85383ddc40949a84d3771b3313d0f9a1042420517,850fe1baba24eeeefc3a8217a23dc5f5874c2f185c3232f08c71035e5a614811,135,135
0,SHISODING,0,3,1,ongoing,1200.000,ongoing,1200.000,cd0462ad6db0c38d8ea7e3d9cce8801ab33748c8d3810a8460740d2eed20f163,4c9270b41b48aa079198d887c1a1ede17383a696072be26fb390af7cb074296a,135,135
1,HURTOUTORD,0,3,0,win,810.625,win,1109.250,25a425102de098b9e47da15b3e902af6560dddbac07a7e990a1ca1038c2a4148,31ff9ed9d437d16d36e800cc5614ae2794b010b83ac26b7128e99d9156d5a181,135,135
1,HURTOUTORD,0,3,1,loss,614.000,ongoing,1200.000,56d5b34747a9c8d8968cdbeaffbff4c94cd18f8fb6d4ce012b97e44283a1edc8,33da5e8ee83d43dca043233cb13d995c7cb9252c069b2b8c4761fdd97a576311,135,135
2,JOSAMAR,0,3,0,win,1188.625,loss,512.750,6cf6684e81855694ee5462210e8b14949f186c8d174d88acf6b96769e8a74c84,fcbf380355163defaa60d22e18cb446f8d7de5bc382de88bfd3c000db849540f,135,135
2,JOSAMAR,0,3,1,ongoing,1200.000,ongoing,1200.000,1469a424ae2b87757fc565bed991d2b30b1d024c336e3f360bdbc74cc2eae141,835d0bbc57a4eafa256a32e5a55fafa214d9b50f34165dd21c0a07cf4a50647e,135,135
3,TIMUSLUG,0,3,0,win,634.500,win,823.500,b711b976d60f4ae74f4c3d17c5e85c551c264b16360273c6e43e39f029a367ed,b29c7e0184b1eabe966d811b578d13e106ed7c10743a1b8895b25837f90dc29c,135,135
3,TIMUSLUG,0,3,1,ongoing,1200.000,ongoing,1200.000,db72669db4db2637fc520be038b07eabfc36fd9fb7e71a57b04ab7e303fd1f25,95627887830fb48f68aff74dd878aa10f287b3d106d2370042ef42e02db09ece,135,135
4,CALDIEHILL,0,3,0,win,928.750,win,716.875,6f50a5b6874fb951e27225a3638743288a0d5e08a50d8501a6da87c2baace167,da8ca241f5d6922b1127c59b9432a2d37b8df251f89179ec169bc82b4ca9f46d,135,135
4,CALDIEHILL,0,3,1,ongoing,1200.000,ongoing,1200.000,0104c6630063c26e14ef272157de8aebc09541383cdffa4f08a08528e4922d7f,755ba4d06fc88d18e17881b8663f5814d111ac7e2386e03b8986998b9938b187,135,135
5,SCOQUEMET,1,0,0,ongoing,1200.000,win,1115.875,9b8a15e63c54401d74c4d7e8c4c28771e3f6e175f91e39a02e273cf32554b05f,ced90ee033b712dae54747c2e4f8b38576c7947627a7b5c618f422669f22182b,135,135
5,SCOQUEMET,1,0,1,ongoing,1200.000,ongoing,1200.000,85536672d497d114da254752b78d7160492a98f690f67cac71c1dd870df2c3eb,d38bc78ae5f194c550a82ea8e215e1fca5e85118e3beb32bad4f54e94c02bb11,135,135
6,SWAUER,1,0,0,ongoing,1200.000,ongoing,1200.000,0e7e804f3e5a828499581fa82e36bd559a2578856c611ba0f252af267327e2d0,63b93494ffb8897053ee920fe5fc31314e7a0bbc8ffb7770aeace8995becac33,135,135
6,SWAUER,1,0,1,ongoing,1200.000,win,746.625,32cc7da893a0f82d5da2086c207bc6a1fb09be850fe39a101859096a4c48f163,1043aa2ab78a50fbb68c8c5d6ff166fac4fb641505951b48a271d0c0ca7cde60,135,135
7,KILLPEING,1,0,0,win,262.875,win,174.625,a8618db5a54604aae6ee9b81e7ad7084444a75d45a8e8f350b8dc2941eeb4c6e,db51f96b7c84562f65ddb86b03b6a3123edf026236c07256f4f811b39e41cdaf,135,135
